-0:12	とみさたん	
7:50	神の味噌汁	これも演出ですか！？すげえええ
7:50	Ely Hobbs	椎名さん？
7:51	c0ns0mme	メスボーイ
7:51	64 faldius	驚きの黒さｗ
7:51	Masaki	新たな畳？
7:51	網戸のほつれ	放送事故たすかる
7:51	NeeTel	スクリーンセーバー！？
7:51	びぃ	草
7:52	藍.	気づいたらひとり減ってるあれか…
7:52	バズゥ、	事故ぉ...?
7:52	JR	演出だと思ったｗ
7:53	taro tarou	何が始まるんですか！？
7:53	かわ3	がんばれー！
7:54	Rose	草
7:54	相馬[そーま]	明転したら何人かやられてるやつじゃん
7:54	唐揚げ定食	話が違うぞｗｗ
7:55	ヨドバシ	笹木優しい
7:55	penta 178	人狼にやられるぞ
7:56	OutGoe3	なにやった？ｗ
7:56	ゾラ25	夜早いな
7:56	ぽけっときゃんべる	ジコガール
7:56	はまち	草
7:56	とりあたま	初日の夜ですか？
7:56	ボンドルド	暗転あちい
7:56	kitataira	夜になった…？
7:56	はるにゃんこ	一体何が起こるんだ！
7:56	わっふる	畳
7:57	こま	畳かぁ
7:57	暇人すらぁぷ	墨配信？
7:57	はばばば	草
7:57	田中太郎	草
7:58	スマイル	草w
7:58	へいほー	草
7:59	kosuke sangenya	しぃしぃ！？
7:59	あの日きみがなにげなく倒したゾンビ	グラサンドアップ？
7:59	y梅	この間に誰かが・・
7:59	ばぶばぶ	草
7:59	てぃーるる	草
7:59	らぶりぃ	草
7:59	黄昏ロナウド	草
8:00	りと	草
8:00	t. t	草
8:00	むぎこ	草
8:00	すやすやこんぶ	草
8:00	popwords	草
8:01	つつ	草
8:01	kagerou	草
8:01	うみ	草
8:01	プリッツトッポ	グウェルがんばって
8:01	アットクマ	草
8:02	もんたぼ	草
8:02	なむピカチュ	同接人数すごっ！！！！
8:02	こはくん	ええ・・・・
8:02	Shir0 Kikuchi	ちがうそっちじゃない
8:02	イクタくん	もう夜かぁ
8:02	木芽雨	草
8:03	海原	草
8:03	9如月	事故ガール
8:03	ねこんねこの	草
8:03	あんちかおす	草
8:04	犬は哺乳類	落ち着いてけ
8:05	ちゃと	草
8:05	うつる	暗記ゲー
8:05	アマド	新しすぎる
8:05	しましま	草
8:06	koji郎	草
8:06	mikazuki	草
8:06	&Ryu	草
8:06	ライムaoi	夜王国が来るから…
8:07	只野仁人	事故お
8:07	h dense	頑張れーｗ
8:07	ぎるがめっしゅ	草
8:08	野菜ユリ	草
8:08	もこもこもこもこ	完全な事故ｗｗ
8:08	でぶちょこ	畳
8:08	クロ雲ライ	草
8:09	緑茶だよ!	こんばんは～！
8:09	alf	草
8:09	まりも	草
8:09	井口スバル	明るくなったら誰か死んでるとかではなかった
8:10	サボりの	草
8:10	極太眉毛	草
8:10	曲がった試験管	草
8:10	lon tig	見えてないんかい
8:10	フロレンスティーナ	草
8:10	投資屋	グエルさんがしたいとなって・・・
8:10	フナムシ	草
8:10	ラビちゃん	なんだかんだで最初の夜が来ました…
8:11	ライス	草
8:11	ホームルーム	草
8:11	るみねん	画面がない
8:11	あざらしぃ。	草
8:11	としょんか:	こむぎ．．．いるか？
8:11	タナカネコ	草
8:11	しましま	これスライドだったのかｗ
8:11	コンコン	草
8:12	Physiocrat Quse	事件起きるやつじゃん
8:12	Q-pon pon	草
8:12	Vの華麗な力を頂点に.	なるほどなぁ
8:12	数山一二三	これは夜ですか？
8:13	tomozo	心の目で見ろと・・・？
8:13	i h	情報が耳のみw
8:13	ユーグ	さすが
8:13	不破	草
8:13	書店くじら	GM
8:13	春楡	草
8:14	一夜朔夜	闇画面のまま説明w
8:14	B 5	草
8:14	秋人	説明が頭に入ってこないんだがｗｗ
8:14	しばふ犬	草
8:14	フェルズ	草
8:14	紗莉	なるほど分かりやすい
8:15	マヨケン	電気ついたら一人減ってるぞ
8:15	岩塩とコーラ	草
8:15	凩	頑張るねぇｗ
8:15	619 Y2J	畳配信かな⁉
8:16	ラピスラズリ	グウェルが黒っていう伏線だな
8:17	もりさき	草
8:17	ぃゅぅ	事故だぁ・・・（小声）
8:17	ぺだぬ	見える見える
8:17	嶽野神田明神	数字の
8:17	なだきょう	草
8:18	Spica 07	草
8:18	車丹波守斯忠	明るくなったらグウェル死んでるんだよね、知ってる。
8:18	母上	事故ｗ
8:19	Fuwalu *	夜きたわね
8:19	ママチャリ	草
8:19	ユウギリ	草
8:20	Rabbit Room	畳配信
8:20	遠野黒鳥	畳ってる
8:20	遥かなるバル	今北 人狼のターンかな？
8:20	ギーマ	分かり易い
8:20	スラ	もはや画面戻せよｗ
8:21	ハカモリ	畳配信（夜Ver）
8:22	murabitoaaa	夜が来ちまったな！
8:22	hito- hone	すげぇ落ち着きようだ
8:23	たいやき	切り抜きの人が作ってくれるよ
8:23	麻呂ノ介	何かが始まってるな
8:23	* eri	進めていくぅ
8:24	ほそぺー	草
8:24	ロンギ	この画面どうにかならんか
8:24	rosugi	なるほどー
8:25	クロモノ	草
8:25	Kuroster	夜だ！人狼さん目を開けてください
8:25	ふわぬぬ	読める読めるぞ
8:25	ごろり	もう始まってるの？？？
8:26	mo oh	草
8:27	KRAKEN	草
8:27	K O	暗転
8:27	人	暗記ゲーｗ
8:28	さみらい	草
8:28	2248 qpc	暗黒配信だあああ
8:28	10	草
8:28	rapi102	音声のみでお送りしております
8:29	nana	もう夜はじまってる？
8:30	やそうさん	草
8:30	EX提督	闇畳
8:31	Ryu Yamada	グエル・事故・ボーイ
8:31	ヒヨロシ	よかった
8:31	じーべん	畳
8:31	virg	最近普通に面白いの反則やろ
8:31	。ラグ	お
8:31	空	事故…
8:32	すてぞう	たすかる
8:32	ウルトー	お
8:32	カンボジア産の身代わり人形	草
8:32	まきMckee	考えるな、感じろ
8:32	s i	分かりやすいぞ!
8:33	ユーヒ	草
8:33	あつぽん.	もう何人かやられてそうｗ
8:33	リューケン	夜になった？
8:33	Muu 315	おお
8:33	Yu sei	グウェルすごいなw
8:33	kbf kbf	草
8:33	アサ	おお
8:33	RAY DIA	夜かぁ
8:33	うみおう	おお、
8:34	GNOME【ノーム】	良かったー
8:34	。あおい	天才か？
8:34	kaniko	お
8:35	Farman	細かく書いてあってわかりやすいなぁ
8:35	又三郎	最初の犠牲者のやつ
8:35	だすきん	草
8:36	めぐし	えらい
8:36	シンプルにヤマトゥー	見えた！
8:37	大智たいち	おぉ…
8:37	ぺょんて	よかった
8:37	KanadeHitode	良かった
8:38	モキシワタ	良かった良かった
8:38	haine	良かった
8:38	Zul Nova	GM jinrou lol
8:38	あかさたな	グウェル天国行きな
8:39	_ sakuma	戻ってきた
8:39	M F	🔥🔥🔥
8:40	イロハ	お
8:40	ほんわかず	良かったよかった
8:40	雑。	おお
8:40	あんちかおす	よかった
8:41	ミミカス	乗り切ったな
8:41	流れ星のガンマン・キリボシ	見れるようになった
8:41	るたろー	よかた
8:41	みずあ。	たすかる
8:42	mob tatu	これが畳か…
8:42	練馬大根	たすかった
8:42	sudo rm	グウェルに黒だし
8:42	コノハ	第一夜か
8:43	トウセイマル	ガチ人狼なのか
8:43	ゆり	お
8:43	タヌキとネコ	おお
8:43	はく洋	流れるように出てきたなスライドｗ
8:44	あ ヴぃを	わかりやすい
8:44	帽子屋ユエナ	おお
8:44	トムリン	リカバリーナイス
8:45	Ai Las	いつもの
8:45	ちゃかげ	夜があけた
8:45	鮭フレーク	よかった
8:46	みおまさかつ	スライドきちゃ
8:46	いおりん	草
8:47	ユードリックの互除法の使い手	椎名人狼
8:47	りゅうまる	なるほど
8:48	千鶴	よかった
8:48	坂本信	✊おりゃーー！
8:49	Ninyoru	戻ってよかったｗ
8:49	村野太一	良かった良かった
8:49	田中太郎	3万7千人がみてるのすごいな
8:49	ezoRig	よかった
8:50	南耳見	おおよかった
8:50	かるた3110	リスペクトなっつ
8:50	get south	今北ー
8:50	橘ヒナコ	良かった
8:51	パンポン	今のは夜時間
8:52	よもぎもちもち	お、わかりやすい
8:52	ししゃも	今回はノーマル人狼か
8:52	Ao_pta	全く焦らないの草
8:52	Mi na	ふんふん
8:53	ななくろし	人狼伝統の畳るかと思った
8:53	ハーレマーのゆら	助かるぅ
8:54	ASH	よかった
8:54	ぐりぃず	わかるわかるぞぉ！！
8:55	T W	あるはずのスライドがなかったか
8:55	るしゅ	わかりやすい
8:55	あおぱちぇ	シンプルなやつだな
8:56	佐門内藤	はえー
8:56	夜鷹	初っ端からフルスロットル
8:57	雪見だいふく	スライド生存確認
8:57	kira kira	まー役職見れれば
8:57	2 LCOM	さすが
8:57	RinQ Tiger	ドキドキ
8:57	Akky tai	草
8:58	らんど	丁寧な説明くっそたすかる
8:58	いいもも	夜が来た
8:58	おおおおおお	流石グウェル肝据わってるぜ
8:58	心刃	内訳が気になるな
8:59	むん丸	畳配信...？
8:59	ユウハーツ	ふむふむ
9:00	ももちゃ。	なるほど
9:00	マーチ	戻ったｗ
9:00	クロエ	笹木最初に死にそう
9:00	さくめる	ほうほう
9:01	まどら	これゲームじゃない奴?
9:01	じーる	やったらわかるからへーきへーき
9:01	山茶花	普通の人狼なのね
9:02	糸さん	焦げが剥がれた
9:02	イキイキ乳酸菌	話し合えるのか
9:02	Asuma明日馬	説明助かる
9:02	はむたはむじろう	真面目な人狼なのね
9:02	コウ	人狼殺？
9:03	リューケン	説明きちゃ
9:03	しあ	ルール説明丁寧でわかりやすい
9:03	フレイムリンクス	闇畳
9:04	アンジュぺったんこ!	スライド回してるのはしぃしぃ？
9:04	トオル	シンプルルールわかりやすい
9:04	嗚呼マヨネーズは美味い	演出じゃないのか
9:04	ゆーしゃん46	グウェルの落ち着き
9:05	マヨケン	一人減ってね？
9:05	ぢうま	よかったｗ
9:06	たべっちかにっち	いつのまにか戻ってきてるしぃしぃ
9:06	紗瑛nasi【さえなし】	夜相談できるのか
9:06	月海	スタンダードな人狼だね
9:06	青空	知らない人にもわかりやすいさすが先生
9:07	アマグモ	わかりやすい
9:07	くもくらげ	普通のガチ人狼やるのか
9:07	成田ブライアン	わかりやすい
9:07	推しが抜けなくて	今更だけど椎名人狼ってなんだ？
9:07	クニうなぎ	1分ずつ話す時間作れればいいのになー
9:07	きもちおしえて	分かりやすいな
9:07	木ハム君	グウェン黒っぽい？
9:07	深夜2時の管理職	笹木はとにかく頑張れ
9:08	oa tao	まだ舞える
9:09	野菜ユリ	霊能おるのね
9:09	柚葵-ゆうき-	わかりやすい
9:10	カービィ	パン屋
9:10	great fullでぃず。	たすかる
9:10	M F	それでいいのか？
9:10	ふくざわゆきち	司会たすかる
9:10	21 hide	霊能者しいしいじゃん
9:11	AIKE	霊能者ｗｗ
9:11	おもち	葛葉いる？w
9:12	おふとん	ほう
9:12	あおじるおうじ。	しぃしぃの役職はっけん
9:13	どらく	画面が来た
9:13	マイ	霊いるのね
9:13	コノハ	わかりやすい
9:14	Barmuda 22	丁寧な説明さんくす
9:15	トントントン	シンプルな人狼かな
9:15	ぷるるん	一般的な役職かな？
9:15	山燕	霊能者しぃしぃ！？
9:15	S朱	霊媒師！？
9:15	み	霊能もあるんだ
9:15	雨降らし	めっちゃ分かりやすい助かる
9:15	Off Fact	おりゃー
9:16	kaniko	王道人狼？
9:16	れむなんと	シンプルな人狼
9:16	すまんも	説明助かるなー
9:16	いつの間にかFCLになっていた男	助かるねぇ
9:16	Tom Kid	めっちゃカッチリ
9:16	カプチーノ伯爵	なんかシンプルでなつかしいな
9:17	セルカトネットヤーグ	しぃしぃ霊能者だろ
9:17	水野美濃権兵衛	分かりやすい
9:18	鮭フレーク	お？
9:18	taketo RONA	霊能力者…？
9:18	yura yura	ちゃんとしててええねー
9:19	kbf kbf	女子高生霊能力者！？
9:19	辰井龍	昼に話し合い夜に執行（妨害）なるほど
9:19	さぶりみなる	親切やな
9:20	ハチミツ	霊能はホンモノおるやん
9:20	まめ鳩	wow
9:20	てぃれもん	ほうほう
9:20	かさはら	ほう
9:20	牛乳	スタンダードな人狼？
9:21	prize(ＳＯＬ)	霊能ありなら狂人いる？
9:21	ぺけも	霊能者おるやんけ
9:21	アイシクルフォール	パン屋くるか？
9:22	うにあ	ほーー
9:22	マツリカ	なるほど
9:22	クンシュウ	そういうことか
9:22	カービィ	ほう
9:22	星野空	占い師と椎名かぁ
9:22	玉の緒	あぇ～
9:23	はく洋	へーー
9:23	ナミガキ	わかりやすー
9:23	わんころもち	うん？
9:23	To Shi	初日
9:23	ロンギ	ほう
9:23	ぴえん	はいはい
9:23	John Smith	へ～
9:23	ウルトー	ほう
9:23	ゴリラ・ゴリリ・ゴリル	ほう
9:24	れれ	おお
9:24	肉助	落ち着きすぎだぞｗ
9:24	ひつまぶし	ベーシック人狼
9:24	抹茶リンク	霊能者しぃしぃじゃん
9:24	きりきり	ラン白か
9:24	助かる口笛	ほーん
9:24	Gavet Luckman	ほう
9:25	りちゃ	初日黒なしか
9:25	かえるは帰る	初日占いありか
9:25	うにあ	白だけか
9:25	しもんず	良き良き
9:25	かば。	いいルール
9:25	直樹カナン	おお
9:25	Souda Niku	良くあるやつ
9:26	c- chan	なるほど
9:26	すろ	白占い
9:26	うらん。	ほう
9:26	めぐし	なるほどなぁ
9:27	tatsu/りんごん	ラン白か
9:28	田中正義	基本的なやつねなるほど
9:28	あ ヴぃを	霊能者いるかんじか
9:29	yoodo sk	霊 能 者
9:29	陽介	確白か
9:30	天音	ほう
9:30	555 osiruko	ほう
9:30	あおナマズ	へー
9:30	えーこ	ほう
9:30	八重光	お？
9:31	すてぞう	初日白確か
9:32	灰色	ほう
9:32	REO	ほう
9:32	醤油ラーメン	あーなるほど
9:32	ゆきじるし	なるほど
9:33	-銘-あき-A ki	ほう
9:33	221 shimamura	おお
9:33	くー	ほう
9:33	もずく	ほう
9:33	スライムまん	ほ～
9:33	海鷂魚マンタ	ほう
9:34	山田ピヨ	ほう
9:34	山茶花	ほう
9:34	6 cc	なるほどな
9:34	シロクマさん	へぇぇ
9:34	燈油	ラン白か
9:34	マーチ	へー
9:36	プレミスト	ほう
9:36	ニコ.	ほう
9:37	あづき	なるほど
9:37	あたるん!	ランダム白
9:37	不利袖	ラン白
9:37	1 1	初日ランダム白
9:38	しあ	ランダムなんだ
9:38	杜白	なるほど
9:38	RinQ Tiger	ランダムかあ
9:38	のんあるちゃん	ほう
9:38	えいりゃん	ほう
9:39	とわせ	ほう
9:39	冬海	なるほど
9:39	T W	初日ランダム白はあく
9:39	リューケン	初日はランダムか？
9:39	燃焼系アイス	即発覚を防ぐためか
9:39	パズー犬	なるほど
9:39	スノーさん	ラン白かぁ
9:39	Gh G	なるほどね
9:39	心刃	ふむふむ
9:39	きむたけ	なるほど
9:40	ケブカサイ	方
9:40	miyayan	なるほど
9:40	Ichikoton	ほう
9:40	シノ	なるほど
9:40	きもちおしえて	ふんふん
9:40	KSM SeReeNe	白ラン？
9:40	るたろー	いいね
9:40	れーた	はぇー
9:40	にゃおと。アイコン貰った!	いいね、やりやすい
9:41	星月夜 ルミエ	古き良き人狼だ
9:41	遅刻魔かりん	初日狼っていうのが無いのね
9:42	暇の極み	か事故なしか
9:42	おじ	ほう
9:42	ぽーめん	最初黒角なしね
9:43	アマキー	あー共有者代わり？
9:43	Bred Thorough	初日白確
9:43	お醤油	緑さん…
9:44	こしぼね	ほう
9:44	三流	これは積分も分かる
9:44	とっとこ冬花	なるほど
9:45	SEITO COD	草
9:45	パク	初手占いあり
9:45	ほのか	ほう
9:45	おおおおおお	詫び人狼みたいなルールか
9:46	嶽野神田明神	緑
9:46	めなっきー	ラン白了解
9:46	がうるえる	なるほど
9:46	しらゆき*	特殊もなにもないホントに普通の人狼だね
9:47	白兎	なるほど
9:48	クニうなぎ	3dJINROじゃん
9:48	Bell	いい調整なきがする
9:48	Schwarz Clive	なるほどね
9:49	あさひ卯衣	なるほどね
9:49	UyuNo	ランダム白か
9:49	断罪袋	ほう
9:50	もみあげ	ジャッジメントでよくあるやつか
9:50	Ryan	確定白出るんか
9:50	雪松	初日黒がないのね
9:51	時速	確白いいね
9:51	うりょ	立ち回りの問題が
9:53	うにあ	なるほど
9:53	今日の天気はNTR模様	初手黒じゃないのはいいね
9:54	ボウガン	初日ランダム把握
9:54	ノワン	なるほど
9:54	ネロ	草
9:54	ワタル	大事なところｗ
9:54	九条九馬	ボケ潰しやん
9:54	ユートしゃん	ラン白
9:54	ユウ	笹木大丈夫か？
9:54	kbf kbf	霊能者兼人狼おるけど
9:54	ぺんぎん	よくあるラン白やね
9:54	chリバーズ	初手黒出し禁じ手か
9:54	_ actor	白だけか
9:54	ユウギリ	口滑らせないようにね
9:55	麹.	なるほど〜
9:55	カプチーノ伯爵	ほほう？
9:55	榎だよ	草
9:55	梅酒	ほーいいね
9:55	kone	だれもやらんやろ
9:56	FCクイナ	なるほど
9:56	しろねこちゃん	ほへぇ
9:56	まいなす	なるほど
9:56	とょめめ	草
9:56	Messala	おかえりー
9:56	みどまる	草
9:56	小麦_komugi	どっかのだれかがやってたなぁ！？w
9:56	00 kuma	フラグか…？
9:56	しゅう	初日吊りなしにしたんだね
9:57	海原	草
9:57	抹茶猫ペンギン	草
9:57	ぷるるん	忘れてそう
9:57	はばばば	草
9:58	sho ma	村人1人確るってことか
9:58	とめとん	草
9:58	秋谷刀[あきやがたな]	草
9:58	ねこのゆりかご	初心者もおるしシンプルで良き
9:59	great fullでぃず。	いいルールだねぇ
9:59	senko	なるほど
10:00	あきカレー	草
10:00	ハーレマーのゆら	ほぉ
10:01	siro yoshida	初日黒確定は有利すぎるからかな？
10:02	ライト。	人狼もしろ出しやすくなるんやね
10:03	もっちもっち	預言者的な意味
10:03	どら茶	草
10:03	夏代	ふわっちがやりそう
10:03	kira kira	笹木とかやりそう笑笑
10:05	taroh tanaka	話聞いてない人狼始まってる
10:05	you千秋	草
10:06	すやすやこんぶ	話聞かない人多いからな
10:06	トリウナギ	プレミCO
10:07	吸血鬼トロール	あれ、、葛葉、、、がんばれ
10:07	あつちーず	ラン白把握
10:08	斉藤健介	草
10:08	こってりペンギン	しぃしぃちゃんと聞いてw
10:08	ねこにゅむ	しぃしぃ！？
10:08	たこやきたいやき	さらっと入ってきたな
10:09	長和香	しぃしぃ？！
10:10	白の落書き	椎名さんやん
10:10	深守	しぃしぃおかえり
10:10	!みっか	初手白いいね
10:11	t	リアルしぃしぃや
10:11	きもちおしえて	アーそういうね
10:12	Ya Ki	草
10:12	雨降らし	忘れそうで草
10:13	緑茶	しぃしぃおかえり
10:13	ゼン	初日黒なくなったのはいいね
10:13	ねこさん1号	ぬるっと椎名さんｗ
10:13	こん【一緒に人生を神ゲーにしよう】	グウェルすき
10:13	rnz ORANGE	どこの手帳持ちだよ
10:13	anonymous_1234	このランダム白って人狼が白として出ることあるん？
10:14	_ _kuma	人すげぇな
10:14	Poころろん	わかりやすいな
10:14	神の味噌汁	しぃしぃ！？
10:15	狐火	なるほど
10:16	三城	黒でも白でるんかな
10:16	上やんっ!	話は聞いてもろて
10:16	123わをん	死んだ人じゃないの？
10:17	四輝	しぃしぃ！・
10:18	a a	椎名じゃん
10:18	愛に生きる	＃椎名霊能者
10:18	Kino Suzuki	誰かやりそう
10:18	佐藤フリスク	ふわっちやりそう
10:18	ゆん	葛葉静かやな
10:19	サツキノ	毎晩わかるんだ
10:20	にこむぅ	初日ランダム白は初心者向けでいい
10:20	クニうなぎ	きつねは？
10:20	みおまさかつ	もし椎名が初日黒出したら受ける
10:20	_ MIZUKI	狂人いるんじゃない？だから占いは2人以上でるよな
10:21	つぶ餡	ラン白 確定白ができるかどうかは狂人が出るか出ないか
10:21	びーねい	狂人やりそう
10:21	ゆの	あてぃし
10:21	メロンソーダ8号	初日黒はなれてる人ほどミスやらかしそうｗ
10:21	原北	白を埋めていく感じか
10:22	ポチ	くーちゃんいる？
10:22	GUNMAくん	テンション草
10:22	MiA	誰か絶対やるな
10:23	wa	丁寧
10:23	チワワ	で た
10:23	セルカトネットヤーグ	占い師複数
10:23	OWL /M	話聞かないで有名なライバー達
10:24	RinQ Tiger	く…ずh
10:24	そらち	さくゆいやりそう
10:25	てとら	肩に幽霊付いてますよ〜^^
10:25	ソルティレージュ	霊能者はしぃしぃでしょ
10:25	わあん	片白じゃ確定は出来んな
10:26	みそぎ	はくらん
10:27	ハリネズミ	しぃしぃ！？
10:27	猫だいふく	しぃしぃおかえりなさい
10:28	マンジカブラ	９人村か
10:29	カズキ	連ガありかな？
10:29	kaniko	騎士か
10:29	いわ	ええな
10:30	_ sakuma	話聞いてないヤツいそうなメンツなんだよな
10:30	tatsu/りんごん	狂人おるんや
10:30	紺太	狩人とな
10:30	ぞうカブト	ほうほう
10:30	タクティカルアーモンド	初日霊能対抗しないときつい？
10:31	するめいか	連続守りはありなのかな？
10:31	なまけもん	一番りんご星人ですよろしくオネガイシマス
10:33	虚モ_	狂人おおそう
10:34	りちゃ	連続護衛はありかな？
10:34	ハクハク	今回狂人ありか
10:35	のら	霊能者しぃしぃ狼じゃね？
10:36	ウルトー	聞いてないやつ多そうなのは気のせいだよな…
10:36	真神野	狂人ってふわっちやん
10:36	ミカグラ	人数の割に役職持ち多いな
10:36	くらいふぁと	連続ガードは？
10:37	彩玉	ほぼ役職もちか
10:37	, DAT	俺が守護らねばならぬ
10:37	いつの間にかFCLになっていた男	騎士みたいな役か
10:37	はらちゃん	騎士か
10:37	taro yamada	れいのうしゃ
10:37	黒蜜杏仁豆腐	騎士の役割ね
10:37	たなりどなるど	ガチ人狼助かる
10:38	くりすぷ	占い噛めないな
10:38	カプチーノ伯爵	このメンツ狂人だけバカうまそう
10:39	Ko_Ta No.68	葛葉の霊圧が消えた
10:39	帽子屋ユエナ	自分は守れない了解
10:40	餡ころ餅ゆっくりーむ	普通村かね？
10:40	月乃宮	葛葉はいきをしていない
10:40	おおおおおお	クッッソワクワクしてきた
10:41	エフダブ	すんごいベーシックな人狼やな
10:41	としまるVTube大好き	いい例えだな
10:41	みなみん	役職
10:41	ORDER	メンバー的に普通に役職あっても大丈夫ってことだｔろう
10:41	n2_ natsu	シンプル人狼いいね
10:41	大樹	占い対抗来るだろうし確定はしないよなぁ
10:41	ganto !	葛葉……
10:42	タロ芋	連続はいいのか
10:43	斉藤健介	誰かしら忘れそう
10:44	パンダ	連続守りはどうなん？
10:44	ねこんねこの	愛の狩人ってね
10:44	一夜朔夜	アンしぃとな
10:44	T・レックス	スタンダードな感じね
10:44	aliado	連続ガードはなしかな？
10:45	S_ 2434	かっけぇじゃん
10:45	アイシクルフォール	騎士か
10:45	ラプラス	連ガはできるのかな？
10:45	ガムガム	葛葉声が…
10:45	たべっちかにっち	アンジュが狩人
10:45	くもくらげ	グエル説明うまいな
10:46	夜空	わかりやすい
10:46	にゃおと。アイコン貰った!	アンユイてぇてぇ
10:46	くろな	役職おおいな
10:47	りっぴ	グウェルいいぞそのたとえ！
10:47	tugunari sakagami	しいアンてぇてぇ
10:47	パンパンコ	あね
10:47	すろ	はい
10:47	ショット	これ、しぃしぃしか枠ない？
10:47	パク	狂人ありかぁ
10:48	推しが抜けなくて	匂わせかな？
10:49	しーく	基本的な9人村の役職ね
10:49	時をかける少年	騎士だね
10:49	【 t o m o e 】	おおお
10:50	たれぐま,	超オーソドックスなレギュレーションだね
10:50	翡翠	ふわっちは狂人ッスネ～
10:51	、だ	狂ありええね
10:51	mudkip	人狼2狂人占い霊能狩人って配役かな
10:51	KanadeHitode	レンガあるんかな
10:52	宮本かなで	ほんほん
10:52	天音	村人2人かな
10:52	もこもこもこもこ	どや顔してそう
10:52	メアリー	縦にしやすそうな身体やしな
10:52	あおじるおうじ。	ストーカーの間違いでは
10:52	Fu mi	騎士と一緒か
10:53	時速	この村何人狂人いるんやろな…？
10:53	てらま	アンジュに守られるしぃしぃ
10:53	DKYM	てぇてぇ
10:53	Dear Deer	ふむふむ
10:53	鍛治琢	アンジュが・・・守る・・・？
10:53	パパくん	わかりやすい
10:54	心刃	ふむふむ
10:54	イェイョ	わかりやすいわよ
10:54	アマグモ	アンジュ狩人負けそう
10:54	こま	リア狂しかおらん
10:54	Rabbit Room	アンしぃてぇてぇなのか
10:54	チワワ	全員狂人
10:55	Virtualキーさん	狂人は全員ですね
10:55	South Shinasu	てぇてぇ
10:55	白の落書き	アンジュ「お待たせ、待った？」
10:56	あわあわ	連続守りありっぽいな
10:56	ようりょーEuclid	今北
10:56	さくめる	大事やね
10:56	黎明卿新しきボンドルド	壁じゃん
10:57	完全グレー	連ガありかどうかを
10:57	けんこうくん	すみません。。。
10:58	わたしわたし	連続ガードあり？
10:58	みやび	今北 こんばんは～
10:58	だい	ほぼ役職持ちになるのかな？
10:58	マット・ガファリン	レンガは？
10:59	イムハタ	3－1グレ殴り合いでよくね感
10:59	椿。	説明助かる
10:59	リューケン	騎士＝狩人
10:59	どだぜろ	アンジュが襲いそう
10:59	もちぐまん	連がはどうだろ？
11:00	K R -	草
11:00	Ninyoru	自分は守れないのは味噌
11:01	miyayan	通常村け？
11:01	月海	相打ちじゃないんや
11:01	kaniko	でたわね
11:01	xp Windows	葛葉潜伏か？
11:01	くろっく96	狩人はすごく楽しい
11:01	REO	ふわっちのこと？
11:01	燈油	自衛はできるの？
11:01	雅-miyabi-	恋の狩人ってやつか
11:02	しょぼんぬ	しぃアンてぇてぇ
11:02	arts 01	今まで護衛成功見たことないな
11:02	キルミルク	葛葉吊られてね？
11:02	推しが尊い	元から狂人多い
11:03	Fu ry ひゅーりー	狂人多い
11:03	ゆんゆん	連があり？
11:03	Tenko -	説明わかりやすい
11:03	しーくん	全員じゃん
11:04	はちめ	グウェルの解説わかりやすい
11:05	kbf kbf	全員狂人じゃねえか
11:05	不利袖	連ガ有りっぽいか
11:06	Yulu lulu	狂人
11:06	零月夜	しぃしぃ！？
11:07	おかしいや	恋人もこい
11:07	AIKE	リアル狂人いるんですね！？
11:08	おじ	わかりやすい
11:08	Uロイ	霊能は処刑された人しかわかりません
11:08	83ヘチマ	狂人いっぱいいる
11:08	然·	騎士か
11:08	get south	相変わらず自分は守れない狩人
11:08	長和香	ほうほう
11:09	オッサンジェルマン	9
11:09	t t	リア狂の集まり
11:09	AB CD	狂人あるのかいいね！
11:09	犬養毅	役職多くてええな
11:09	かしめ	連ガありっぽいね
11:09	陽介	これは全員やろ
11:09	さんび	有りやろどうせ
11:09	俺の名を言ってみ郎	ラブハンターアンジュ
11:10	しらゆき*	シンプルが一番いいまであるから楽しめる
11:10	黒王子	狂人ありか
11:10	uo oo	狂人ありいいね
11:10	のんあるちゃん	でた狂人
11:11	海牛テヤァ	レンガはアリ？
11:11	Nene	ここまでは普通そうだ
11:12	hide hide	リア狂ふわっちがおる
11:12	夕空	椎名枠とグウェルの墓枠
11:12	虚モ_	狂人多くないですか？
11:12	なまけもん	一番りんご星人です。よろしくオネガイシマス。
11:13	下っ端騎士団員	連続ガードはこの人数なら無しかな
11:13	あきカレー	リア狂が多い
11:13	Schwarz Clive	ヴァンプさんあやしくね？
11:14	でみちゃむ	れんがはありじゃないかな
11:14	タミフルマニアtommy	リア狂多め
11:15	よる	レンガアリなのかな？
11:15	angah izzuddin	among us?
11:15	kura Kizaku	りんご星人は草
11:15	餡ころ餅ゆっくりーむ	レンガ有りなら美味しい
11:15	Mi na	なるほど
11:15	Hana Tsukimi	あーね
11:15	愛に生きる	全員、狂人
11:15	ハチミツ	ほぼ全員
11:16	りょうの	今回シンプルでいいな
11:17	よーむくんII世	狂人に能力は無い？
11:17	niwakon .F	なるほど
11:18	s i	狂人しかおらんが
11:18	さぶりみなる	みんな狂人やからなぁ…
11:18	うめにゃ	狂人楽しそう
11:18	黒犬/kuroinu	リアル狂人しかおらん
11:18	メロンソーダ8号	うまい狂人は厄介
11:19	ろろ	狂人多い
11:19	帽子屋ユエナ	了解
11:19	ぽこり	書いてないなら連がありでは
11:19	糸さん	ほう
